Year,State/UT,City/Town/Village,S02 Annual Average,NO2 Annual Average,PM10 Annual Average,PM2.5 Annual Average
2018,Andhra Pradesh,Anantapur,5,34,87,26
2018,Andhra Pradesh,Chitoor,7,26,72,45
2018,Andhra Pradesh,Kadapa,5,28,69,19
2018,Andhra Pradesh,Kakinada,9,66,74,21
2018,Andhra Pradesh,Kurnool,4,26,69,14
2018,Andhra Pradesh,Nellore,5,34,65,23
2018,Andhra Pradesh,"Rajahmundry/
Rajamahendravaram",,69,,
2018,Andhra Pradesh,Tirupati,5,12,51,15
2018,Andhra Pradesh,Vijaywada,5,29,79,19
2018,Andhra Pradesh,Vishakhapatnam,,35,84,
2018,Assam,Guwahati,8,72,115,18
2018,Bihar,Begusarai,12,58,108,21
2018,Bihar,Muzaffarpur,14,84,139,24
2018,Chandigarh,Chandigarh,2,51,117,21
2018,Chattisgarh,Bilaspur,6,20,42,12
2018,Chattisgarh,Korba,10,21,65,20
2018,Chattisgarh,Raigarh,,22,54,
2018,Dadra & Nagar Haveli,"Baldevi (Dadra &
Nagar Haveli)*",,27,70,
2018,Dadra & Nagar Haveli,Silvassa,31,45,132,35
2018,Daman & Diu,Daman,28,40,114,31
2018,Daman & Diu,Patlara (Daman)*,,26,74,
2018,Delhi,Delhi,6,112,156,96
2018,Goa,Amona,8,20,62,12
2018,Goa,Assanora,8,18,56,13
2018,Goa,Bicholim,7,23,70,13
2018,Goa,Codli,8,20,61,12
2018,Goa,Cuncolim,11,42,77,15
2018,Goa,Curchorem,9,32,57,13
2018,Goa,Honda,8,20,62,13
2018,Goa,Kundaim,8,22,69,14
2018,Goa,Margao,7,18,57,13
2018,Goa,Mormugao,5,38,101,11
2018,Goa,Panaji,6,8,68,12
2018,Goa,Ponda,8,29,93,13
2018,Goa,Sanguem,9,31,61,13
2018,Goa,Tilamol,9,44,81,14
2018,Goa,Tuem,8,17,54,13
2018,Goa,Usgao,7,19,59,13
2018,Goa,Vasco,5,60,83,11
2018,Gujarat,Ahmedabad,17,68,217,27
2018,Gujarat,Anklesvar,16,46,148,25
2018,Gujarat,Jamnagar,17,44,137,21
2018,Gujarat,Rajkot,19,67,215,23
2018,Gujarat,Surat,19,37,109,25
2018,Gujarat,Vadodara,19,55,167,23
2018,Gujarat,Vapi,18,59,189,27
2018,Himachal Pradesh,Damtal,2,25,64,10
2018,Himachal Pradesh,Dharamshala,2,23,36,7
2018,Himachal Pradesh,Kala Amb,3,64,130,15
2018,Himachal Pradesh,Manali,2,30,84,13
2018,Himachal Pradesh,Paonta Sahib,2,51,82,13
2018,Himachal Pradesh,Parwanoo,2,13,60,5
2018,Himachal Pradesh,Shimla,4,33,60,26
2018,Himachal Pradesh,Sunder Nagar,2,51,78,10
2018,Jammu & Kashmir,Jammu,4,45,169,19
2018,Karnataka,Bagalkote,2,35,65,13
2018,Karnataka,Bangalore,2,53,116,33
2018,Karnataka,Belgaum,2,50,89,15
2018,Karnataka,Bidar,2,41,82,14
2018,Karnataka,Bijapur,2,31,76,14
2018,Karnataka,Devanagere,4,19,48,7
2018,Karnataka,Gulburga,2,41,55,14
2018,Karnataka,Hassan,4,27,33,19
2018,Karnataka,Hubli-Dharwad,5,22,66,20
2018,Karnataka,Kolar,2,38,81,30
2018,Karnataka,Mysore,3,29,53,15
2018,Karnataka,Raichur,2,33,90,12
2018,Karnataka,Shimaga,8,17,44,6
2018,Kerala,Kozhikode,2,7,61,11
2018,Madhya Pradesh,Amlai,17,31,96,22
2018,Madhya Pradesh,Bhopal,9,67,155,18
2018,Madhya Pradesh,Chhindwara,4,47,81,16
2018,Madhya Pradesh,Dewas,16,51,70,21
2018,Madhya Pradesh,Gwalior,12,61,127,20
2018,Madhya Pradesh,Indore,10,41,87,19
2018,Madhya Pradesh,Jabalpur,2,38,107,14
2018,Madhya Pradesh,Katni,12,37,90,28
2018,Madhya Pradesh,Nagda,20,29,56,14
2018,Madhya Pradesh,Prithampur,11,35,88,21
2018,Madhya Pradesh,Sagar,3,34,79,15
2018,Madhya Pradesh,Satna,4,56,124,9
2018,Madhya Pradesh,Singrauli,23,53,114,30
2018,Madhya Pradesh,Ujjain,15,38,93,16
2018,Maharashtr a,Mumbai,2,46,172,25
2018,Maharashtr a,Nagpur,13,44,112,39
2018,Meghalaya,Shillong,2,12,31,7
2018,Odisha,Angul,9,52,99,25
2018,Odisha,Balasore,2,44,83,11
2018,Odisha,Berhampur,2,33,64,19
2018,Odisha,Bhubneshwar,2,31,112,18
2018,Odisha,Bonaigarh,8,36,99,12
2018,Odisha,Cuttack,5,55,129,33
2018,Odisha,Jharsuguda,10,56,106,18
2018,Odisha,Kalinga Nagar,3,47,110,13
2018,Odisha,Paradeep,19,48,119,12
2018,Odisha,Rajgangpur,17,49,146,20
2018,Odisha,Rayagada,4,37,60,18
2018,Odisha,Rourkela,7,41,93,14
2018,Odisha,Sambalpur,5,53,85,21
2018,Odisha,Talcher,10,54,125,29
2018,sWest Bengal,Asansol,13,58,144,35
2018,sWest Bengal,Barrackpore,10,44,110,51
2018,sWest Bengal,Darjeeling,2,20,36,14
2018,sWest Bengal,Durgapur,12,71,148,35
2018,sWest Bengal,Haldia,12,33,87,36
2018,sWest Bengal,Howrah,11,105,209,94
2018,sWest Bengal,Kalyani,10,40,89,48
2018,sWest Bengal,Kolkata,4,99,129,37
2018,sWest Bengal,Siliguri,2,35,72,17
2018,Tamilnadu,Chennai,14,31,54,17
2018,Tamilnadu,Coimbatore,5,28,52,22
2018,Tamilnadu,Cuddalore,12,32,51,17
2018,Tamilnadu,Madurai,11,32,74,18
2018,Tamilnadu,Mettur,7,24,44,22
2018,Tamilnadu,Salem,8,21,57,26
2018,Tamilnadu,Trichy,18,54,106,24
2018,Tamilnadu,Tuticorin,13,22,96,11
2018,Telangana,Adilabad,6,33,69,23
2018,Telangana,Hyderabad,5,53,134,36
2018,Telangana,Karimnagar,9,49,98,39
2018,Telangana,Khammam,9,36,85,41
2018,Telangana,Nalgonda,6,40,57,23
2018,Telangana,Nizamabad,6,27,60,23
2018,Telangana,Patencheru,6,37,81,23
2018,Telangana,Ramagundam,9,49,104,41
2018,Telangana,Sangareddy,9,47,101,68
2018,Telangana,Warangal,9,41,86,37
2018,Tripura,Agartala,11,24,47,16
2018,Uttar Pradesh,Agra,5,95,201,21
2018,Uttar Pradesh,Ghaziabad,22,102,254,44
2018,Uttar Pradesh,Kanpur,8,83,213,52
2018,Uttar Pradesh,Lucknow,8,108,208,29
2018,Uttar Pradesh,Noida,19,119,251,50
